caption,tone,platform,audience,hashtags,topic,cta,engagement_label,source,caption_cleaned,tone_id,platform_id,audience_id,engagement_id
"Just saw a LinkedIn Influencer with 'Organic Growth' written in the profile with 65K+ followers claiming that he can help you in growing your platform, copying the posts from other influencers.",Professional,Instagram,Professionals,,"Influencer, Personal Growth",,medium,kaggle_linkedin,saw linkedin influencer organic growth written profile 65k followers claiming help growing platform copying posts influencers,3,1,4,2
"Jobseekers, this one’s for you.
 Every application, every interview, every follow-up… the pressure is immense.
 And I know what you're thinking: Am I not good enough? 
 But let me tell you, this isn’t about you or your skills. It’s about a broken system where 60% of applicants never hear back. 
 Your mental health is not worth sacrificing for a system that doesn’t acknowledge your worth. 
 Please remember, taking care of yourself is the real priority. 
 Your dream job will come, but for now, breathe. 🌻",Inspirational,Instagram,Professionals,,"Mental Health, Job Search",,high,kaggle_linkedin,jobseekers one every application every interview every follow pressure immense know thinking good enough let tell skills broken system 60 applicants never hear back mental health worth sacrificing system acknowledge worth please remember taking care real priority dream job come breathe,2,1,4,0
"Looking for jobs on LinkedIn is like online dating: Full of promises, but in the end, you’re just left ghosted.",Humorous,Instagram,Professionals,,"Online Dating, Job Search",,medium,kaggle_linkedin,looking jobs linkedin like online dating full promises end left ghosted,1,1,4,2
"LinkedIn scams be like: 'Congratulations, you've been selected for a role you didn’t even apply for!' 
 The catch? Pay Rs. 50,000 for the honor.",Humorous,Instagram,Professionals,,"Scams, LinkedIn",,medium,kaggle_linkedin,linkedin scams like congratulations selected role even apply catch pay rs 50 000 honor,1,1,4,2
"Next time when I'll be reading some LinkedIn Influencer's story, I am starting from the last line.
If there's a link attached to it, it's most probably a fake one.
Saves me time!",Casual,Instagram,Professionals,,"Productivity, Time Management",,medium,kaggle_linkedin,next time reading linkedin influencer story starting last line link attached probably fake one saves time,0,1,4,2
"Every time I poured my heart into 5-6 rounds of interviews and faced rejection, it felt like a punch in the gut. The sleepless nights, the endless preparation, all for nothing.

But looking back, I realize it wasn’t nothing. It was the Universe’s way of saying, “Not this one, something better is on the way.”

Every single time, I’ve been shown why that rejection happened.

Doors I thought I wanted to walk through were shut, only to have the right ones swing open.

The kind that aligned with my growth, my values, and my happiness.

At first, it stung. It hurt deeply. But now, when things don’t go as planned, I don’t panic.

I don’t question my worth. I sit back, breathe, and trust. The Universe knows.

I know there's another plan waiting. Something bigger, better, and just for me.

To anyone feeling the weight of rejection: trust that the closed doors are protecting you from something you can’t see right now.

Your path is being cleared for something even more beautiful.",Inspirational,Instagram,Professionals,,"Motivation, Job Search",,high,kaggle_linkedin,every time poured heart rounds interviews faced rejection felt like punch gut sleepless nights endless preparation nothing looking back realize nothing universe way saying one something better way every single time shown rejection happened doors thought wanted walk shut right ones swing open kind aligned growth values happiness first stung hurt deeply things go planned panic question worth sit back breathe trust universe knows know another plan waiting something bigger better anyone feeling weight rejection trust closed doors protecting something see right path cleared something even beautiful,2,1,4,0
"To everyone who's still looking for a job...

I see you. I feel you. 💔

Every rejection email feels like a punch in the gut, and every 'We'll get back to you' sounds more like 'You'll never hear from us.'

But I want you to know, you're not alone in this. 🌸

According to a study, 80% of jobseekers struggle with anxiety and self-doubt during their search. It's normal to feel lost, but it's not the end.

Take breaks, breathe, and remember, this doesn't define you. Your worth is not tied to an offer letter. 💥

Your mental health matters more than any job.",Inspirational,Instagram,Professionals,,"Mental Health, Job Search",,high,kaggle_linkedin,everyone still looking job see feel every rejection email feels like punch gut every get back sounds like never hear us want know alone according study 80 jobseekers struggle anxiety self doubt search normal feel lost end take breaks breathe remember define worth tied offer letter mental health matters job,2,1,4,0
"Sometimes, we forget that a company’s brand name doesn’t define someone’s talent. It’s easy to get caught up in the 'big company = big talent' mindset, but that's not always the case.

I’ve had the privilege of working with people from smaller companies (lesser known) who blow me away with their skills and dedication. They don’t need a fancy title or a famous brand behind them to prove their worth.

I've seen the other side too—people in top-tier companies feeling lost, overwhelmed, or stuck, even though the world sees them as 'successful'.

Let’s stop attaching someone’s value to the company they work for. Freshers especially need to hear this—skills are what matter, not the size of the company behind them.

At the end of the day, happiness and growth don’t come from a brand name, they come from doing what you love and constantly improving your craft.",Inspirational,Instagram,Professionals,,"Career Advice, Personal Growth",,medium,kaggle_linkedin,sometimes forget company brand name define someone talent easy get caught big company big talent mindset always case privilege working people smaller companies lesser known blow away skills dedication need fancy title famous brand behind prove worth seen side people top tier companies feeling lost overwhelmed stuck even though world sees successful let stop attaching someone value company work freshers especially need hear skills matter size company behind end day happiness growth come brand name come love constantly improving craft,2,1,4,2
"So when I left a toxic work environment, I told my manager a simple thing and felt so good 😯

I just said-

'Hope your son gets a manager like you.
I hope that the manager behaves the same way as you did with me.
Thank you.'

Now tell me 1 thing-

She always said that she was a great manager.
Why will she get offended?

I just told her that I wish her son would get a manager like she was.

If you felt bad, then that means you were a bad manager and now you know it. 80

If you feel good, then take it as a blessing for your son and you'll really want someone to treat your son/daughter in the same way.

She cannot be even angry with me else it'll prove that she was not a 'great' manager.

Muskan - 1
Manager - 0

Muskan -> Aura +100000000

(Fictional message unfortunately :(
)

Hope you all become the people that your sons/daughters will like to work under 🙏

There are a lot of bad people/things, bring a small change and break the chain :)",Humorous,Instagram,Professionals,,"Professional, Humor",,high,kaggle_linkedin,left toxic work environment told manager simple thing felt good said hope son gets manager like hope manager behaves way thank tell thing always said great manager get offended told wish son would get manager like felt bad means bad manager know 80 feel good take blessing son really want someone treat son daughter way even angry else prove great manager muskan manager muskan aura 100000000 fictional message unfortunately hope become people sons daughters like work lot bad people things bring small change break chain,1,1,4,0
"I am an AI Tools & ChatGPT Expert, and my salary package is 42 LPA.

Sounds familiar? If you’ve been on YouTube recently, I’m sure you’ve seen this ad at least 100 times. Now, I have just one simple question – Can someone please tell me which companies are hiring for this role and paying 42 LPA? Because I’m also considering a career switch! 😂

See guys, learning how to use a few AI tools won't magically get you a 42 LPA job. Selling courses isn’t wrong, but selling them by giving false hopes is. Just because someone tells you that learning how to use a few AI tools will instantly land you a high-paying job doesn’t make it true.

So, a humble request – don’t fall for these unrealistic promises. Invest in courses only to upskill yourself, not with the expectation of overnight success.
If anyone actually finds this 42 LPA AI Tools & ChatGPT Expert job, please let me know. I’ll also update my resume! 🤣",Professional,Instagram,Professionals,,"Career Development, AI Tools",,high,kaggle_linkedin,ai tools chatgpt expert salary package 42 lpa sounds familiar youtube recently sure seen ad least 100 times one simple question someone please tell companies hiring role paying 42 lpa also considering career switch see guys learning use ai tools magically get 42 lpa job selling courses wrong selling giving false hopes someone tells learning use ai tools instantly land high paying job make true humble request fall unrealistic promises invest courses upskill expectation overnight success anyone actually finds 42 lpa ai tools chatgpt expert job please let know also update resume,3,1,4,0
