platform,tone,audience,caption,hashtags,cta,content_type,engagement_label,source
Instagram,Casual,Gen Z,Instagram post for Gen Z in a casual tone ✨,#AI #Marketing #SocialMedia #Trending #Growth,Check it out!,Carousel,high,gemini_synthetic
Instagram,Casual,Gen Z,Level up your feed with this casual vibe 🔥,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Single Photo,medium,gemini_synthetic
Instagram,Casual,Gen Z,Designed for Gen Z — experience the difference 💡,#AI #Marketing #SocialMedia #Trending #Growth,Don’t miss this!,Reel,low,gemini_synthetic
Instagram,Casual,Millennials,Instagram post for Millennials in a casual tone ✨,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Reel,medium,gemini_synthetic
Instagram,Casual,Millennials,Level up your feed with this casual vibe 🔥,#AI #Marketing #SocialMedia #Trending #Growth,Check it out!,Single Photo,medium,gemini_synthetic
Instagram,Casual,Millennials,Designed for Millennials — experience the difference 💡,#AI #Marketing #SocialMedia #Trending #Growth,Don’t miss this!,Reel,low,gemini_synthetic
Instagram,Casual,Professionals,Instagram post for Professionals in a casual tone ✨,#AI #Marketing #SocialMedia #Trending #Growth,Check it out!,Carousel,high,gemini_synthetic
Instagram,Casual,Professionals,Level up your feed with this casual vibe 🔥,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Reel,high,gemini_synthetic
Instagram,Casual,Professionals,Designed for Professionals — experience the difference 💡,#AI #Marketing #SocialMedia #Trending #Growth,Don’t miss this!,Reel,high,gemini_synthetic
Instagram,Casual,Students,Instagram post for Students in a casual tone ✨,#AI #Marketing #SocialMedia #Trending #Growth,Don’t miss this!,Reel,low,gemini_synthetic
Instagram,Casual,Students,Level up your feed with this casual vibe 🔥,#AI #Marketing #SocialMedia #Trending #Growth,Check it out!,Carousel,medium,gemini_synthetic
Instagram,Casual,Students,Designed for Students — experience the difference 💡,#AI #Marketing #SocialMedia #Trending #Growth,Check it out!,Carousel,medium,gemini_synthetic
Instagram,Professional,Gen Z,Instagram post for Gen Z in a professional tone ✨,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Reel,medium,gemini_synthetic
Instagram,Professional,Gen Z,Level up your feed with this professional vibe 🔥,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Carousel,high,gemini_synthetic
Instagram,Professional,Gen Z,Designed for Gen Z — experience the difference 💡,#AI #Marketing #SocialMedia #Trending #Growth,Learn more!,Single Photo,medium,gemini_synthetic
