caption,tone,platform,audience,hashtags,topic,cta,engagement_label,source,caption_cleaned,tone_id,platform_id,audience_id,engagement_id
puzzle chessgames learnchess virtual chess chessmate gaming chesslover online chesstricks,Casual,Instagram,Gen Z,puzzle chessgames learnchess virtual chess chessmate gaming chesslover online chesstricks chessreels chessreel team chess sah шахматы dolls checkmate games szachy ajedrez bestpuzzle brilliantmove stunningmove stunning,Sports,Follow for more!,medium,kaggle_instagram,puzzle chessgames learnchess virtual chess chessmate gaming chesslover online chesstricks,0,1,1,2
Pulse Point — Product Launch. Duration: 45 Days,Professional,Instagram,Millennials,,Health,Learn more!,low,kaggle_ads,pulse point product launch duration 45 days,3,1,2,1
sholay gabbarsingh jaiveeru basanti thakur sanjeevkumar amitabhbachchan dharmendra hemamalini amjadkhan,Casual,Instagram,Gen Z,sholay gabbarsingh jaiveeru basanti thakur sanjeevkumar amitabhbachchan dharmendra hemamalini amjadkhan,Cinema,Follow for more!,medium,kaggle_instagram,sholay gabbarsingh jaiveeru basanti thakur sanjeevkumar amitabhbachchan dharmendra hemamalini amjadkhan,0,1,1,2
managermemes badmanagement goodmanager worstfeeling callcentre callcenterjobs callcenteragent khadus rascal irritating,Casual,Instagram,Gen Z,managermemes badmanagement goodmanager worstfeeling callcentre callcenterjobs callcenteragent khadus rascal irritating,Society,Follow for more!,medium,kaggle_instagram,managermemes badmanagement goodmanager worstfeeling callcentre callcenterjobs callcenteragent khadus rascal irritating,0,1,1,2
pig instagramreels,Casual,Instagram,Gen Z,pig instagramreels,Comedy,Follow for more!,medium,kaggle_instagram,pig instagramreels,0,1,1,2
I took a career break at 32 to travel for 6 months. Here's everything I learned about work life and myself.,Inspirational,Instagram,Millennials,#CareerBreak #SabbaticalLife #WorkLifeBalance #SelfDiscovery #Millennials,General,Read the full essay — link in comments. It might be the permission you need.,high,manual,took career break 32 travel months everything learned work life,2,1,2,0
Enthusiasm for a DIY home improvement project.,Casual,Facebook,Millennials,#Enthusiasm #HomeImprovement,General,Share your thoughts!,low,kaggle_sentiment,enthusiasm diy home improvement project,0,0,2,1
vladimirputin angelamerkel borisjohnson emmanuelmacron justintrudeau jairbolsonaro scottmorrison jacindaardern,Casual,Instagram,Gen Z,vladimirputin angelamerkel borisjohnson emmanuelmacron justintrudeau jairbolsonaro scottmorrison jacindaardern,Society,Follow for more!,medium,kaggle_instagram,vladimirputin angelamerkel borisjohnson emmanuelmacron justintrudeau jairbolsonaro scottmorrison jacindaardern,0,1,1,2
foodblogfeed bengalurunodi foodoftheday travelkarnataka karnatakagram karnataka bangaloreinsta buzzfeast indianfood foodmaniacindia,Casual,Instagram,Gen Z,foodblogfeed bengalurunodi foodoftheday travelkarnataka karnatakagram karnataka bangaloreinsta buzzfeast indianfood foodmaniacindia sobangalore iphonex nammakarnataka foodblogger southindianfood,Food,Follow for more!,medium,kaggle_instagram,foodblogfeed bengalurunodi foodoftheday travelkarnataka karnatakagram karnataka bangaloreinsta buzzfeast indianfood foodmaniacindia,0,1,1,2
family familytime familygoals familylove familyfirst familymatters familybonding familyvacation familygathering familyreunion,Casual,Instagram,Gen Z,family familytime familygoals familylove familyfirst familymatters familybonding familyvacation familygathering familyreunion,Relationships,Follow for more!,medium,kaggle_instagram,family familytime familygoals familylove familyfirst familymatters familybonding familyvacation familygathering familyreunion,0,1,1,2
