image_id,platform,content_type,visual_style,color_tone,mood,subject,background,text_overlay,cta_type,audience,campaign_goal,engagement_label,caption_suggestion,hashtag_suggestion
IMG001,Instagram,Single Photo,Lifestyle,Warm,Happy,Person holding product outdoors,Nature/Park,Yes - product name,Shop Now,Gen Z,Brand Awareness,high,Found my new favourite thing this summer ☀️,#SummerVibes #OOTD #NewDrop
IMG002,Instagram,Carousel,Flat Lay,Bright,Energetic,Product lineup on white surface,White Studio,Yes - price tag,Swipe to See,Millennials,Product Launch,high,Everything you need in one collection 🛍️,#NewCollection #FlatLay #ProductPhotography
IMG003,Instagram,Reel Thumbnail,Aesthetic,Pastel,Calm,Coffee and notebook on desk,Cozy Indoor,No,Follow for More,Gen Z,Engagement,medium,Morning routine that changed my life ☕,#MorningRoutine #AestheticLife #SlowMorning
IMG004,Instagram,Story,Bold,Neon,Exciting,Text-based announcement graphic,Dark Background,Yes - sale percentage,Tap to Shop,Millennials,Drive Sales,high,SALE IS LIVE 🔥 Don't miss out,#SaleAlert #LimitedTime #FlashSale
IMG005,Instagram,Single Photo,Professional,Neutral,Confident,Team photo in office setting,Modern Office,Yes - company name,Learn More,Professionals,Brand Awareness,medium,Meet the team behind the mission 💼,#TeamWork #CompanyCulture #BehindTheScenes
IMG006,Instagram,Carousel,Educational,Clean,Informative,Infographic slides with icons,White Background,Yes - statistics,Save This,Entrepreneurs,Lead Generation,high,5 strategies that grew our revenue 📊,#BusinessTips #Entrepreneur #GrowthHack
IMG007,Instagram,Reel Thumbnail,Cinematic,Dark,Dramatic,Before and after transformation,Split Screen,Yes - transformation label,Watch Now,Gen Z,Engagement,high,The glow up is real 😍,#GlowUp #Transformation #BeforeAndAfter
IMG008,Instagram,Single Photo,Minimalist,Monochrome,Sophisticated,Single product on clean surface,Grey Background,No,Shop the Look,Professionals,Product Launch,medium,Less is more. Always.,#Minimalist #CleanAesthetic #ProductDesign
IMG009,Instagram,Story,Fun,Vibrant,Playful,Poll or quiz graphic,Colourful Background,Yes - question text,Vote Now,Gen Z,Engagement,high,This or that? You decide 👇,#ThisOrThat #Poll #EngagementPost
IMG010,Instagram,Carousel,Tutorial,Soft,Helpful,Step by step how-to images,Light Background,Yes - step numbers,Follow for Tips,Students,Education,high,How I studied smarter not harder 📚,#StudyTips #StudentLife #HowTo
IMG011,Twitter,Banner Image,Professional,Blue,Trustworthy,Speaker at conference podium,Conference Hall,Yes - event name,Register Now,Professionals,Event Promotion,medium,Big news coming this Thursday 🎙️,#Conference #Speaker #EventAlert
IMG012,Twitter,Single Photo,Candid,Natural,Authentic,Behind the scenes team working,Office/Remote Setup,No,Retweet,Millennials,Brand Awareness,high,This is what building something looks like 💻,#BehindTheScenes #StartupLife #Authentic
IMG013,Twitter,Infographic,Bold,High Contrast,Informative,Data chart with key stats,Dark Background,Yes - key numbers,Share This,Entrepreneurs,Thought Leadership,high,The numbers don't lie 📈,#DataDriven #Stats #MarketingTips
